Smileys & Emotion
face-smiling			
141	U+2764	❤	red heart
142	U+1FA77	🩷	pink heart
143	U+1F9E1	🧡	orange heart
144	U+1F49B	💛	yellow heart
145	U+1F49A	💚	green heart
146	U+1F499	💙	blue heart
147	U+1FA75	🩵	light blue heart
148	U+1F49C	💜	purple heart
149	U+1F90E	🤎	brown heart
150	U+1F5A4	🖤	black heart
151	U+1FA76	🩶	grey heart
152	U+1F90D	🤍	white heart
emotion			
153	U+1F48B	💋	kiss mark
154	U+1F4AF	💯	hundred points
155	U+1F4A2	💢	anger symbol
156	U+1F4A5	💥	collision
157	U+1F4AB	💫	dizzy
158	U+1F4A6	💦	sweat droplets
159	U+1F4A8	💨	dashing away
160	U+1F573	🕳	hole
161	U+1F4AC	💬	speech balloon
162	U+1F441 U+FE0F U+200D U+1F5E8 U+FE0F	👁️‍🗨️	eye in speech bubble
163	U+1F5E8	🗨	left speech bubble
164	U+1F5EF	🗯	right anger bubble
165	U+1F4AD	💭	thought balloon
166	U+1F4A4	💤	ZZZ
People & Body			
hand-fingers-open			
167	U+1F44B	👋	waving hand
168	U+1F91A	🤚	raised back of hand
169	U+1F590	🖐	hand with fingers splayed
170	U+270B	✋	raised hand
171	U+1F596	🖖	vulcan salute
172	U+1FAF1	🫱	rightwards hand
173	U+1FAF2	🫲	leftwards hand
174	U+1FAF3	🫳	palm down hand
175	U+1FAF4	🫴	palm up hand
176	U+1FAF7	🫷	leftwards pushing hand
177	U+1FAF8	🫸	rightwards pushing hand
hand-fingers-partial			
178	U+1F44C	👌	OK hand
179	U+1F90C	🤌	pinched fingers
180	U+1F90F	🤏	pinching hand
181	U+270C	✌	victory hand
182	U+1F91E	🤞	crossed fingers
183	U+1FAF0	🫰	hand with index finger and thumb crossed
184	U+1F91F	🤟	love-you gesture
185	U+1F918	🤘	sign of the horns
186	U+1F919	🤙	call me hand
hand-single-finger			
187	U+1F448	👈	backhand index pointing left
188	U+1F449	👉	backhand index pointing right
189	U+1F446	👆	backhand index pointing up
190	U+1F595	🖕	middle finger
191	U+1F447	👇	backhand index pointing down
192	U+261D	☝	index pointing up
193	U+1FAF5	🫵	index pointing at the viewer
hand-fingers-closed			
194	U+1F44D	👍	thumbs up
195	U+1F44E	👎	thumbs down
196	U+270A	✊	raised fist
197	U+1F44A	👊	oncoming fist
198	U+1F91B	🤛	left-facing fist
199	U+1F91C	🤜	right-facing fist
hands			
200	U+1F44F	👏	clapping hands
201	U+1F64C	🙌	raising hands
202	U+1FAF6	🫶	heart hands
203	U+1F450	👐	open hands
204	U+1F932	🤲	palms up together
205	U+1F91D	🤝	handshake
206	U+1F64F	🙏	folded hands
hand-prop			
207	U+270D	✍	writing hand
208	U+1F485	💅	nail polish
209	U+1F933	🤳	selfie
body-parts			
210	U+1F4AA	💪	flexed biceps
211	U+1F9BE	🦾	mechanical arm
212	U+1F9BF	🦿	mechanical leg
213	U+1F9B5	🦵	leg
214	U+1F9B6	🦶	foot
215	U+1F442	👂	ear
216	U+1F9BB	🦻	ear with hearing aid
217	U+1F443	👃	nose
218	U+1F9E0	🧠	brain
219	U+1FAC0	🫀	anatomical heart
220	U+1FAC1	🫁	lungs
221	U+1F9B7	🦷	tooth
222	U+1F9B4	🦴	bone
223	U+1F440	👀	eyes
224	U+1F441	👁	eye
225	U+1F445	👅	tongue
226	U+1F444	👄	mouth
227	U+1FAE6	🫦	biting lip
person			
228	U+1F476	👶	baby
229	U+1F9D2	🧒	child
230	U+1F466	👦	boy
231	U+1F467	👧	girl
232	U+1F9D1	🧑	person
233	U+1F471	👱	person: blond hair
234	U+1F468	👨	man
235	U+1F9D4	🧔	person: beard
236	U+1F9D4 U+200D U+2642 U+FE0F	🧔‍♂️	man: beard
237	U+1F9D4 U+200D U+2640 U+FE0F	🧔‍♀️	woman: beard
238	U+1F468 U+200D U+1F9B0	👨‍🦰	man: red hair
239	U+1F468 U+200D U+1F9B1	👨‍🦱	man: curly hair
240	U+1F468 U+200D U+1F9B3	👨‍🦳	man: white hair
241	U+1F468 U+200D U+1F9B2	👨‍🦲	man: bald
242	U+1F469	👩	woman
243	U+1F469 U+200D U+1F9B0	👩‍🦰	woman: red hair
244	U+1F9D1 U+200D U+1F9B0	🧑‍🦰	person: red hair
245	U+1F469 U+200D U+1F9B1	👩‍🦱	woman: curly hair
246	U+1F9D1 U+200D U+1F9B1	🧑‍🦱	person: curly hair
247	U+1F469 U+200D U+1F9B3	👩‍🦳	woman: white hair
248	U+1F9D1 U+200D U+1F9B3	🧑‍🦳	person: white hair
249	U+1F469 U+200D U+1F9B2	👩‍🦲	woman: bald
250	U+1F9D1 U+200D U+1F9B2	🧑‍🦲	person: bald
251	U+1F471 U+200D U+2640 U+FE0F	👱‍♀️	woman: blond hair
252	U+1F471 U+200D U+2642 U+FE0F	👱‍♂️	man: blond hair
253	U+1F9D3	🧓	older person
254	U+1F474	👴	old man
255	U+1F475	👵	old woman
person-gesture			
256	U+1F64D	🙍	person frowning
257	U+1F64D U+200D U+2642 U+FE0F	🙍‍♂️	man frowning
258	U+1F64D U+200D U+2640 U+FE0F	🙍‍♀️	woman frowning
259	U+1F64E	🙎	person pouting
260	U+1F64E U+200D U+2642 U+FE0F	🙎‍♂️	man pouting
261	U+1F64E U+200D U+2640 U+FE0F	🙎‍♀️	woman pouting
262	U+1F645	🙅	person gesturing NO
263	U+1F645 U+200D U+2642 U+FE0F	🙅‍♂️	man gesturing NO
264	U+1F645 U+200D U+2640 U+FE0F	🙅‍♀️	woman gesturing NO
265	U+1F646	🙆	person gesturing OK
266	U+1F646 U+200D U+2642 U+FE0F	🙆‍♂️	man gesturing OK
267	U+1F646 U+200D U+2640 U+FE0F	🙆‍♀️	woman gesturing OK
268	U+1F481	💁	person tipping hand
269	U+1F481 U+200D U+2642 U+FE0F	💁‍♂️	man tipping hand
270	U+1F481 U+200D U+2640 U+FE0F	💁‍♀️	woman tipping hand
271	U+1F64B	🙋	person raising hand
272	U+1F64B U+200D U+2642 U+FE0F	🙋‍♂️	man raising hand
273	U+1F64B U+200D U+2640 U+FE0F	🙋‍♀️	woman raising hand
274	U+1F9CF	🧏	deaf person
275	U+1F9CF U+200D U+2642 U+FE0F	🧏‍♂️	deaf man
276	U+1F9CF U+200D U+2640 U+FE0F	🧏‍♀️	deaf woman
277	U+1F647	🙇	person bowing
278	U+1F647 U+200D U+2642 U+FE0F	🙇‍♂️	man bowing
279	U+1F647 U+200D U+2640 U+FE0F	🙇‍♀️	woman bowing
280	U+1F926	🤦	person facepalming
281	U+1F926 U+200D U+2642 U+FE0F	🤦‍♂️	man facepalming
282	U+1F926 U+200D U+2640 U+FE0F	🤦‍♀️	woman facepalming
283	U+1F937	🤷	person shrugging
284	U+1F937 U+200D U+2642 U+FE0F	🤷‍♂️	man shrugging
285	U+1F937 U+200D U+2640 U+FE0F	🤷‍♀️	woman shrugging
person-role			
286	U+1F9D1 U+200D U+2695 U+FE0F	🧑‍⚕️	health worker
287	U+1F468 U+200D U+2695 U+FE0F	👨‍⚕️	man health worker
288	U+1F469 U+200D U+2695 U+FE0F	👩‍⚕️	woman health worker
289	U+1F9D1 U+200D U+1F393	🧑‍🎓	student
290	U+1F468 U+200D U+1F393	👨‍🎓	man student
291	U+1F469 U+200D U+1F393	👩‍🎓	woman student
292	U+1F9D1 U+200D U+1F3EB	🧑‍🏫	teacher
293	U+1F468 U+200D U+1F3EB	👨‍🏫	man teacher
294	U+1F469 U+200D U+1F3EB	👩‍🏫	woman teacher
295	U+1F9D1 U+200D U+2696 U+FE0F	🧑‍⚖️	judge
296	U+1F468 U+200D U+2696 U+FE0F	👨‍⚖️	man judge
297	U+1F469 U+200D U+2696 U+FE0F	👩‍⚖️	woman judge
298	U+1F9D1 U+200D U+1F33E	🧑‍🌾	farmer
299	U+1F468 U+200D U+1F33E	👨‍🌾	man farmer
300	U+1F469 U+200D U+1F33E	👩‍🌾	woman farmer
301	U+1F9D1 U+200D U+1F373	🧑‍🍳	cook
302	U+1F468 U+200D U+1F373	👨‍🍳	man cook
303	U+1F469 U+200D U+1F373	👩‍🍳	woman cook
304	U+1F9D1 U+200D U+1F527	🧑‍🔧	mechanic
305	U+1F468 U+200D U+1F527	👨‍🔧	man mechanic
306	U+1F469 U+200D U+1F527	👩‍🔧	woman mechanic
307	U+1F9D1 U+200D U+1F3ED	🧑‍🏭	factory worker
308	U+1F468 U+200D U+1F3ED	👨‍🏭	man factory worker
309	U+1F469 U+200D U+1F3ED	👩‍🏭	woman factory worker
310	U+1F9D1 U+200D U+1F4BC	🧑‍💼	office worker
311	U+1F468 U+200D U+1F4BC	👨‍💼	man office worker
312	U+1F469 U+200D U+1F4BC	👩‍💼	woman office worker
313	U+1F9D1 U+200D U+1F52C	🧑‍🔬	scientist
314	U+1F468 U+200D U+1F52C	👨‍🔬	man scientist
315	U+1F469 U+200D U+1F52C	👩‍🔬	woman scientist
316	U+1F9D1 U+200D U+1F4BB	🧑‍💻	technologist
317	U+1F468 U+200D U+1F4BB	👨‍💻	man technologist
318	U+1F469 U+200D U+1F4BB	👩‍💻	woman technologist
319	U+1F9D1 U+200D U+1F3A4	🧑‍🎤	singer
320	U+1F468 U+200D U+1F3A4	👨‍🎤	man singer
321	U+1F469 U+200D U+1F3A4	👩‍🎤	woman singer
322	U+1F9D1 U+200D U+1F3A8	🧑‍🎨	artist
323	U+1F468 U+200D U+1F3A8	👨‍🎨	man artist
324	U+1F469 U+200D U+1F3A8	👩‍🎨	woman artist
325	U+1F9D1 U+200D U+2708 U+FE0F	🧑‍✈️	pilot
326	U+1F468 U+200D U+2708 U+FE0F	👨‍✈️	man pilot
327	U+1F469 U+200D U+2708 U+FE0F	👩‍✈️	woman pilot
328	U+1F9D1 U+200D U+1F680	🧑‍🚀	astronaut
329	U+1F468 U+200D U+1F680	👨‍🚀	man astronaut
